,entity_name,client_name,year,reg_type,compensation
0,"21c, LLC","EDUCATION TRUST, INC. (THE)",2024,Lobbyist Entity,7500.0
1,"21c, LLC","Amplify Education, Inc.",2024,Lobbyist Entity,22500.0
2,"21c, LLC","The Massachusetts Alliance for Early College, Inc.",2024,Lobbyist Entity,15000.0
3,"21c, LLC",Benjamin Franklin Cummings Institute of Technology,2024,Lobbyist Entity,12500.0
4,"21c, LLC",Total salaries received,2024,Lobbyist Entity,57500.0
5,"21c, LLC","Artists For Humanity, Inc.",2024,Lobbyist Entity,12500.0
6,"27 South Strategies, LLC","The Massachusetts International Festival of the Arts, Inc.",2024,Lobbyist Entity,24000.0
7,"27 South Strategies, LLC","Veterinary Emergency Group, LLC",2024,Lobbyist Entity,27000.0
8,"27 South Strategies, LLC",Thrive Scholars,2024,Lobbyist Entity,21600.0
9,"27 South Strategies, LLC",Boston Center for Independent Living INC,2024,Lobbyist Entity,2500.0
10,"27 South Strategies, LLC","Guardian Community Trust, Inc.",2024,Lobbyist Entity,36000.0
11,"27 South Strategies, LLC","Gobrands, Inc",2024,Lobbyist Entity,30000.0
12,"27 South Strategies, LLC",Total salaries received,2024,Lobbyist Entity,141100.0
13,Anthony Arthur Abdelahad,"Massachusetts Association of Vocational Administrators, Inc.",2024,Lobbyist,34999.98
14,Anthony Arthur Abdelahad,"Massachusetts Association of Insurance Agents, Inc.",2024,Lobbyist,67500.0
15,Anthony Arthur Abdelahad,"USA Hauling & Recycling, Inc.",2024,Lobbyist,0.0
16,Anthony Arthur Abdelahad,"Lindy Farms of Connecticut, LLC",2024,Lobbyist,0.0
17,Anthony Arthur Abdelahad,"Greathorse, LLC",2024,Lobbyist,0.0
18,Anthony Arthur Abdelahad,Massachusetts Municipal Wholesale Electric Company,2024,Lobbyist,70000.0
19,Anthony Arthur Abdelahad,Construction Industries of Massachusetts Massachusetts Aggregate and Asphalt Pavement Division,2024,Lobbyist,24000.0
20,Anthony Arthur Abdelahad,"AMERICAN MEDICAL RESPONSE OF MASSACHUSETTS, INC.",2024,Lobbyist,59641.86
21,Anthony Arthur Abdelahad,"MANAFORT BROTHERS, INCORPORATED",2024,Lobbyist,14000.0
22,Anthony Arthur Abdelahad,"Peckham Industries, Inc.",2024,Lobbyist,51000.0
23,Anthony Arthur Abdelahad,"MGM Resorts International Operations, Inc.",2024,Lobbyist,13125.0
24,Anthony Arthur Abdelahad,Massachusetts Alliance of Boys & Girls Clubs,2024,Lobbyist,60000.0
25,Anthony Arthur Abdelahad,"Massachusetts Urgent Care Association, Inc",2024,Lobbyist,45833.35
26,Anthony Arthur Abdelahad,Western New England University,2024,Lobbyist,22500.0
